round,seed,exploit,coop,defect,exploit_
1,8,49456,88858,59183,47503
2,8,49984,88661,58770,47585
3,8,50536,86944,60387,47133
4,8,51036,85604,61701,46659
5,8,50793,86749,61252,46206
6,8,50218,88394,60154,46234
7,8,49791,92272,56417,46520
8,8,50623,97042,52644,44691
9,8,50462,97163,52545,44830
10,8,50873,96833,52485,44809
11,8,50259,98338,52124,44279
12,8,49399,95621,54726,45254
13,8,49211,94309,55782,45698
14,8,49541,95384,53951,46124
15,8,47886,98650,51947,46517
16,8,49241,100141,50249,45369
17,8,51151,95885,53072,44892
18,8,52183,90435,58028,44354
19,8,51659,91079,58260,44002
20,8,50998,91704,57992,44306
21,8,52256,88678,60459,43607
22,8,53814,84487,63321,43378
23,8,51567,79295,68332,45806
24,8,51576,80396,67736,45292
25,8,51853,80528,67074,45545
26,8,51863,79896,67442,45799
27,8,51918,80716,67211,45155
28,8,51155,79241,69042,45562
29,8,48111,74797,74112,47980
30,8,49591,78482,70392,46535
31,8,48960,77195,72019,46826
32,8,48564,77487,72298,46651
33,8,48849,77734,71924,46493
34,8,48725,73380,75463,47432
35,8,49413,78392,70664,46531
36,8,49561,77969,70762,46708
37,8,49959,78399,69872,46770
38,8,49016,81883,66665,47436
39,8,49239,80546,68903,46312
40,8,48256,77083,71955,47706
41,8,48199,73548,75811,47442
42,8,46944,76021,73495,48540
43,8,46824,76460,72632,49084
44,8,46062,78019,72317,48602
45,8,45943,79539,71299,48219
46,8,46098,78201,71974,48727
47,8,44735,72426,77481,50358
48,8,44436,73100,77096,50368
49,8,46359,68157,82941,47543
50,8,45992,63197,87784,48027
